info face="PEPPERMINT" size=32 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=0,0
common lineHeight=32 base=24 scaleW=512 scaleH=512 pages=1 packed=0
page id=0 file="peppermint.png"
chars count=94
char id=32   x=0     y=0     width=0     height=0     xoffset=0     yoffset=24    xadvance=13     page=0  chnl=0 
char id=124   x=0     y=0     width=7     height=34     xoffset=1     yoffset=-3    xadvance=7     page=0  chnl=0 
char id=125   x=7     y=0     width=14     height=34     xoffset=1     yoffset=-3    xadvance=13     page=0  chnl=0 
char id=123   x=21     y=0     width=13     height=34     xoffset=1     yoffset=-3    xadvance=13     page=0  chnl=0 
char id=93   x=34     y=0     width=11     height=34     xoffset=1     yoffset=-3    xadvance=11     page=0  chnl=0 
char id=91   x=45     y=0     width=10     height=34     xoffset=1     yoffset=-3    xadvance=12     page=0  chnl=0 
char id=41   x=55     y=0     width=11     height=34     xoffset=1     yoffset=-3    xadvance=11     page=0  chnl=0 
char id=40   x=66     y=0     width=10     height=34     xoffset=1     yoffset=-3    xadvance=11     page=0  chnl=0 
char id=36   x=76     y=0     width=17     height=31     xoffset=1     yoffset=-3    xadvance=18     page=0  chnl=0 
char id=106   x=93     y=0     width=15     height=30     xoffset=-4     yoffset=1    xadvance=7     page=0  chnl=0 
char id=74   x=108     y=0     width=15     height=30     xoffset=-4     yoffset=1    xadvance=7     page=0  chnl=0 
char id=81   x=123     y=0     width=19     height=29     xoffset=1     yoffset=1    xadvance=19     page=0  chnl=0 
char id=38   x=142     y=0     width=18     height=24     xoffset=1     yoffset=1    xadvance=19     page=0  chnl=0 
char id=35   x=160     y=0     width=25     height=24     xoffset=0     yoffset=1    xadvance=24     page=0  chnl=0 
char id=37   x=185     y=0     width=25     height=24     xoffset=1     yoffset=1    xadvance=25     page=0  chnl=0 
char id=92   x=210     y=0     width=17     height=24     xoffset=0     yoffset=1    xadvance=16     page=0  chnl=0 
char id=64   x=227     y=0     width=26     height=24     xoffset=1     yoffset=1    xadvance=26     page=0  chnl=0 
char id=47   x=253     y=0     width=17     height=24     xoffset=0     yoffset=1    xadvance=16     page=0  chnl=0 
